model_version,majority_bps,threshold_fraction,q,n,coalition_fraction_requested,coalition_size,coalition_fraction_realized,honest_turnout,correct_rate,wrong_rate,void_rate,expected_attack_profit_eth,attack_profit_ci95_low_eth,attack_profit_ci95_high_eth,expected_failed_slashing_eth,success_benefit_if_wrong_eth,refundable_stake_principal_eth,nonref_identity_fee_eth,capital_opportunity_cost_eth,gas_cost_eth,coordination_cost_eth,reps
stake-vote-econ-v2.0.0,6667,0.6667,0.6,9,0.25,2,0.2222222222222222,0.6,0.015,0.24,0.745,1.0368600782778865,0.7035961406576479,1.3701240158981252,0.03,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,9,0.25,2,0.2222222222222222,1.0,0.03,0.08,0.89,0.1149672211350293,-0.0992888905501974,0.329223332820256,0.06,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,9,0.4,4,0.4444444444444444,0.6,0.0,0.6,0.4,3.1048630136986306,2.694597094621744,3.515128932775517,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,9,0.4,4,0.4444444444444444,1.0,0.0,0.295,0.705,1.289220156555773,0.9093184369852199,1.6691218761263262,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,21,0.0,0,0.0,0.6,0.245,0.015,0.74,0.075,-0.009442927709791077,0.15944292770979107,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,21,0.0,0,0.0,1.0,0.22,0.0,0.78,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,21,0.25,5,0.23809523809523808,0.6,0.005,0.225,0.77,0.8842279790224995,0.49345131794720437,1.2750046400977946,0.025,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,21,0.25,5,0.23809523809523808,1.0,0.015,0.06,0.925,-0.24204623287671226,-0.48823564316493995,0.0041431774115154585,0.075,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,21,0.4,8,0.38095238095238093,0.6,0.0,0.61,0.39,3.6996108092820417,3.181689490826339,4.217532127737744,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6667,0.6667,0.6,21,0.4,8,0.38095238095238093,1.0,0.0,0.18,0.82,0.4964515175933387,0.08044546957739662,0.9124575656092808,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,9,0.0,0,0.0,0.6,0.73,0.005,0.265,0.025,-0.02399999999999998,0.07399999999999998,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,9,0.0,0,0.0,1.0,0.725,0.0,0.275,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,9,0.25,2,0.2222222222222222,0.6,0.105,0.085,0.81,-0.007401826484018339,-0.24433325723927288,0.22952960427123623,0.21,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,9,0.25,2,0.2222222222222222,1.0,0.23,0.005,0.765,-0.6952113502935421,-0.8261740593208788,-0.5642486412662053,0.46,5.0,2.0,0.2,0.003068493150684932,0.006,0.054000000000000006,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,9,0.4,4,0.4444444444444444,0.6,0.0,0.405,0.595,2.017577299412916,1.5951503606242003,2.440004238201632,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,9,0.4,4,0.4444444444444444,1.0,0.0,0.05,0.95,-0.17220841487279845,-0.35637372609968637,0.011956896354089475,0.0,5.0,4.0,0.4,0.006136986301369864,0.012,0.058,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,21,0.0,0,0.0,0.6,0.84,0.0,0.16,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,21,0.0,0,0.0,1.0,0.87,0.0,0.13,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,21,0.25,5,0.23809523809523808,0.6,0.03,0.03,0.94,-0.5271806123860918,-0.7315451706374037,-0.32281605413478,0.15,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,21,0.25,5,0.23809523809523808,1.0,0.145,0.0,0.855,-1.3076712328767124,-1.5522769457574,-1.0630655199960248,0.725,5.0,5.0,0.5,0.0076712328767123295,0.015,0.060000000000000005,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,21,0.4,8,0.38095238095238093,0.6,0.0,0.225,0.775,0.8818503475215806,0.41988625756668574,1.3438144374764756,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
stake-vote-econ-v2.0.0,6667,0.6667,0.8,21,0.4,8,0.38095238095238093,1.0,0.0,0.005,0.995,-0.8612739726027395,-0.9416339726027395,-0.7809139726027395,0.0,5.0,8.0,0.8,0.012273972602739727,0.024,0.066,200
