model_version,case,outcome,sum_net_wei,expected_sum_net_wei,deviation_wei
stake-vote-econ-v2.0.0,226,void,0,0,0
stake-vote-econ-v2.0.0,227,correct,-2,-2,0
stake-vote-econ-v2.0.0,228,correct,-2,-2,0
stake-vote-econ-v2.0.0,229,correct,0,0,0
stake-vote-econ-v2.0.0,230,wrong,0,0,0
stake-vote-econ-v2.0.0,231,wrong,0,0,0
stake-vote-econ-v2.0.0,232,wrong,0,0,0
stake-vote-econ-v2.0.0,233,void,0,0,0
stake-vote-econ-v2.0.0,234,void,0,0,0
stake-vote-econ-v2.0.0,235,wrong,0,0,0
stake-vote-econ-v2.0.0,236,wrong,0,0,0
stake-vote-econ-v2.0.0,237,void,0,0,0
stake-vote-econ-v2.0.0,238,correct,0,0,0
stake-vote-econ-v2.0.0,239,wrong,0,0,0
stake-vote-econ-v2.0.0,240,correct,-4,-4,0
stake-vote-econ-v2.0.0,241,correct,0,0,0
stake-vote-econ-v2.0.0,242,correct,0,0,0
stake-vote-econ-v2.0.0,243,correct,-1,-1,0
stake-vote-econ-v2.0.0,244,void,0,0,0
stake-vote-econ-v2.0.0,245,void,0,0,0
stake-vote-econ-v2.0.0,246,correct,0,0,0
stake-vote-econ-v2.0.0,247,correct,-8,-8,0
stake-vote-econ-v2.0.0,248,void,0,0,0
stake-vote-econ-v2.0.0,249,correct,0,0,0
stake-vote-econ-v2.0.0,250,correct,0,0,0
stake-vote-econ-v2.0.0,251,void,0,0,0
stake-vote-econ-v2.0.0,252,wrong,-8,-8,0
stake-vote-econ-v2.0.0,253,void,0,0,0
stake-vote-econ-v2.0.0,254,wrong,0,0,0
stake-vote-econ-v2.0.0,255,void,0,0,0
stake-vote-econ-v2.0.0,256,correct,0,0,0
stake-vote-econ-v2.0.0,257,void,0,0,0
stake-vote-econ-v2.0.0,258,correct,0,0,0
stake-vote-econ-v2.0.0,259,correct,0,0,0
stake-vote-econ-v2.0.0,260,void,0,0,0
stake-vote-econ-v2.0.0,261,wrong,0,0,0
stake-vote-econ-v2.0.0,262,wrong,0,0,0
stake-vote-econ-v2.0.0,263,correct,0,0,0
